series_id,series_name,season,episode,wh,words_count
17,The Twilight Zone,2,13,6571.2,2738
17,The Twilight Zone,2,14,8184.0,3410
17,The Twilight Zone,2,15,1020.0,425
17,The Twilight Zone,2,16,6535.2,2723
17,The Twilight Zone,2,17,4958.4,2066
17,The Twilight Zone,2,18,7178.4,2991
17,The Twilight Zone,2,19,6660.0,2775
17,The Twilight Zone,2,20,6386.4,2661
17,The Twilight Zone,2,21,6662.4,2776
17,The Twilight Zone,2,22,5632.8,2347
17,The Twilight Zone,2,23,4533.6,1889
17,The Twilight Zone,2,24,5076.0,2115
17,The Twilight Zone,2,25,7087.2,2953
17,The Twilight Zone,2,26,7221.6,3009
17,The Twilight Zone,2,27,4257.6,1774
17,The Twilight Zone,2,28,7360.8,3067
17,The Twilight Zone,2,29,7684.8,3202
17,The Twilight Zone,3,1,1221.6,509
17,The Twilight Zone,3,2,6806.4,2836
17,The Twilight Zone,3,3,7908.0,3295
17,The Twilight Zone,3,4,6115.2,2548
17,The Twilight Zone,3,5,5644.8,2352
17,The Twilight Zone,3,6,5599.2,2333
17,The Twilight Zone,3,7,5968.8,2487
17,The Twilight Zone,3,8,6696.0,2790
17,The Twilight Zone,3,9,5484.0,2285
17,The Twilight Zone,3,10,4444.8,1852
17,The Twilight Zone,3,11,6240.0,2600
17,The Twilight Zone,3,12,3456.0,1440
17,The Twilight Zone,3,13,2954.4,1231
17,The Twilight Zone,3,14,2954.4,1231
17,The Twilight Zone,3,15,6734.4,2806
17,The Twilight Zone,3,16,4711.2,1963
17,The Twilight Zone,3,17,7526.4,3136
17,The Twilight Zone,3,18,3756.0,1565
17,The Twilight Zone,3,19,6549.6,2729
17,The Twilight Zone,3,20,6252.0,2605
17,The Twilight Zone,3,21,4288.8,1787
17,The Twilight Zone,3,22,7243.2,3018
17,The Twilight Zone,3,23,7070.0,2828
17,The Twilight Zone,3,24,7406.4,3086
17,The Twilight Zone,3,25,5848.8,2437
17,The Twilight Zone,3,26,4485.6,1869
17,The Twilight Zone,3,27,6264.0,2610
17,The Twilight Zone,3,28,5834.4,2431
17,The Twilight Zone,3,29,6554.4,2731
17,The Twilight Zone,3,30,7005.6,2919
17,The Twilight Zone,3,31,7005.6,2919
17,The Twilight Zone,3,32,6072.0,2530
17,The Twilight Zone,3,33,6280.8,2617
17,The Twilight Zone,3,34,5025.6,2094
17,The Twilight Zone,3,35,5632.8,2347
17,The Twilight Zone,3,36,6110.0,2444
17,The Twilight Zone,3,37,6110.0,2444
17,The Twilight Zone,4,1,5776.47,4910
17,The Twilight Zone,4,2,6068.24,5158
17,The Twilight Zone,4,3,5967.06,5072
17,The Twilight Zone,4,4,5350.59,4548
17,The Twilight Zone,4,5,4282.35,3640
17,The Twilight Zone,4,6,4035.29,3430
17,The Twilight Zone,4,7,6052.94,5145
17,The Twilight Zone,4,8,5664.71,4815
17,The Twilight Zone,4,9,6412.94,5451
17,The Twilight Zone,4,10,5641.18,4795
17,The Twilight Zone,4,11,6154.12,5231
17,The Twilight Zone,4,12,6594.0,5495
17,The Twilight Zone,4,13,6222.35,5289
17,The Twilight Zone,4,14,5972.94,5077
17,The Twilight Zone,4,15,6699.6,5583
17,The Twilight Zone,4,16,6157.65,5234
17,The Twilight Zone,4,17,7033.2,5861
17,The Twilight Zone,4,18,7736.4,6447
17,The Twilight Zone,5,1,5500.0,2200
17,The Twilight Zone,5,2,5445.0,2178
17,The Twilight Zone,5,3,4102.5,1641
17,The Twilight Zone,5,4,7615.0,3046
17,The Twilight Zone,5,5,7087.5,2835
17,The Twilight Zone,5,6,4392.5,1757
17,The Twilight Zone,5,7,6165.0,2466
17,The Twilight Zone,5,8,6125.0,2450
17,The Twilight Zone,5,9,5705.0,2282
17,The Twilight Zone,5,10,7555.0,3022
17,The Twilight Zone,5,11,7682.5,3073
17,The Twilight Zone,5,12,6452.5,2581
17,The Twilight Zone,5,13,8967.5,3587
17,The Twilight Zone,5,14,5380.0,2152
17,The Twilight Zone,5,15,6502.5,2601
17,The Twilight Zone,5,16,6882.5,2753
17,The Twilight Zone,5,17,7335.0,2934
17,The Twilight Zone,5,18,6260.0,2504
17,The Twilight Zone,5,19,4572.5,1829
17,The Twilight Zone,5,20,5610.0,2244
17,The Twilight Zone,5,21,6502.5,2601
17,The Twilight Zone,5,22,1039.2,433
17,The Twilight Zone,5,23,6017.5,2407
17,The Twilight Zone,5,24,7412.5,2965
17,The Twilight Zone,5,25,6667.5,2667
17,The Twilight Zone,5,26,7040.0,2816
17,The Twilight Zone,5,27,5225.0,2090
17,The Twilight Zone,5,28,6825.0,2730
17,The Twilight Zone,5,29,5630.0,2252
17,The Twilight Zone,5,30,4825.0,1930
17,The Twilight Zone,5,31,6952.5,2781
17,The Twilight Zone,5,32,7660.0,3064
17,The Twilight Zone,5,33,7385.0,2954
17,The Twilight Zone,5,34,4822.5,1929
17,The Twilight Zone,5,35,4927.5,1971
17,The Twilight Zone,5,36,7572.5,3029
